# Expanded local starter context model. Format: 2-4 words, then integer weight.
# Personal profile data always outranks this generic model.
с	учетом	980
потому	что	920
для	того	900
может	быть	900
не	нужно	900
я	хочу	900
нужно	сделать	880
то	есть	880
должно	быть	860
хочу	сделать	850
чтобы	программа	850
должен	быть	820
должна	быть	820
можно	сделать	820
не	могу	820
при	этом	820
проблема	в	820
на	самом	800
очень	важно	800
программа	должна	800
система	должна	800
дело	в	780
не	хочу	780
сделать	так	780
будет	работать	760
в	целом	760
должна	работать	760
могу	сделать	760
ты	можешь	760
хочу	добавить	760
я	могу	760
в	итоге	740
очень	хорошо	740
буду	делать	720
в	том	720
вы	можете	720
должен	работать	720
должны	работать	720
мы	можем	720
нужно	добавить	720
работать	так	720
того	чтобы	720
будет	лучше	700
в	данном	700
как	будто	700
можно	добавить	700
не	будет	700
нужно	проверить	700
он	может	700
она	может	700
они	могут	700
подсказка	должна	700
подсказки	должны	700
хочу	понять	700
хочу	чтобы	700
это	может	700
я	думаю	700
если	нужно	680
очень	удобно	680
по	сути	680
программа	может	680
система	может	680
ты	хочешь	680
что	это	680
как	это	660
могу	добавить	660
не	работает	660
нужно	учесть	660
хочу	попробовать	660
вопрос	в	650
если	это	650
можно	использовать	650
слишком	долго	650
это	работает	650
мы	хотим	640
они	хотят	640
будет	удобно	620
буду	использовать	620
вы	хотите	620
когда	я	620
могу	проверить	620
можно	попробовать	620
не	получается	620
нужно	понять	620
он	хочет	620
она	хочет	620
очень	странно	620
поэтому	нужно	620
программа	будет	620
просто	хочу	620
работает	странно	620
сейчас	нужно	620
система	будет	620
слишком	много	620
слова	должны	620
слово	должно	620
смысл	в	620
текст	должен	620
что	нужно	620
это	было	620
я	считаю	620
если	я	600
мы	будем	600
например	можно	600
не	знаю	600
они	будут	600
очень	плохо	600
работает	нормально	600
сейчас	я	600
слишком	сложно	600
что	можно	600
это	будет	600
если	не	580
когда	это	580
поэтому	я	580
просто	нужно	580
что	я	580
это	очень	580
вы	будете	560
ещё	нужно	560
на	основе	560
например	я	560
он	сказал	560
она	сказала	560
просто	не	560
работает	быстро	560
сейчас	это	560
также	нужно	560
это	не	560
я	понимаю	560
ещё	можно	540
не	понимаю	540
потом	можно	540
поэтому	можно	540
я	знаю	540
добавить	возможность	520
мы	сделали	520
он	сделал	520
она	сделала	520
проверить	результат	520
также	можно	520
уже	можно	520
это	нужно	520
он	будет	500
она	будет	500
ты	думаешь	500
уже	не	500
я	хотела	500
ты	знаешь	480
я	решила	480
это	поможет	470
должно	работать	465
я	буду	450
я	начала	450
чтобы	это	440
я	сделала	440
изменить	настройки	430
исправить	проблему	430
можно	изменить	430
ты	понимаешь	430
я	написала	430
я	проверила	400
сделать	это	390
я	попробую	380
данном	случае	360
программа	работает	360
самом	деле	360
я	пишу	360
лучше	сделать	350
почему	это	340
думаю	что	330
понимаю	что	330
считаю	что	330
можешь	проверить	320
можешь	сделать	320
база	должна	310
вариант	должен	310
должна	обучаться	310
должна	предлагать	310
должна	учитывать	310
модель	должна	310
ползунок	должен	310
приложение	должно	310
сделать	лучше	310
список	должен	310
хочется	чтобы	310
учетом	контекста	305
будет	делать	300
выбрать	вариант	300
добавить	это	300
думает	что	300
еще	раз	300
знает	что	300
может	помочь	300
может	сделать	300
понимает	что	300
сделала	это	300
сделали	это	300
считает	что	300
хочет	сделать	300
без	подключения	280
буду	проверять	280
в	конце	280
введения	слова	280
введенным	буквам	280
вводе	текста	280
конце	слова	280
могу	объяснить	280
могу	показать	280
на	этом	280
основе	выбора	280
по	введенным	280
по	текущему	280
подключения	к	280
после	введения	280
после	нажатия	280
при	вводе	280
текущему	контексту	280
учетом	формы	280
хочу	проверить	280
этом	компьютере	280
выбрать	другой	260
выглядит	странно	260
изменить	это	260
использовать	этот	260
можно	оставить	260
можно	проверить	260
нужно	изменить	260
понять	причину	260
учитывать	контекст	260
это	выглядит	260
каждого	пользователя	250
текущей	строкой	250
более	того	180
будто	это	180
в	зависимости	180
в	связи	180
важно	чтобы	180
вместо	того	180
возможно	это	180
всего	это	180
деле	это	180
другой	стороны	180
если	программа	180
есть	можно	180
есть	программа	180
есть	это	180
зависимости	от	180
заметила	что	180
итоге	нужно	180
итоге	получилось	180
кажется	что	180
как	только	180
когда	программа	180
кроме	того	180
мне	кажется	180
на	то	180
например	программа	180
например	это	180
несмотря	на	180
нужно	чтобы	180
образом	можно	180
одной	стороны	180
перед	тем	180
по	этой	180
после	того	180
с	другой	180
с	одной	180
с	этим	180
связи	с	180
скорее	всего	180
случае	нужно	180
таким	образом	180
тем	как	180
того	как	180
того	можно	180
того	это	180
только	программа	180
учетом	того	180
целом	работает	180
целом	это	180
что	программа	180
это	связано	180
этой	причине	180
этом	важно	180
этом	можно	180
этом	нужно	180
я	заметила	180
будет	если	170
где	найти	170
где	хранится	170
давай	добавим	170
давай	изменим	170
давай	попробуем	170
давай	проверим	170
давай	сделаем	170
давай	улучшим	170
добавим	возможность	170
добавить	слово	170
изменим	настройки	170
исправить	ошибку	170
как	выбрать	170
как	добавить	170
как	изменить	170
как	исправить	170
как	лучше	170
как	можно	170
как	сделать	170
можешь	добавить	170
можешь	исправить	170
найти	настройки	170
попробуем	еще	170
почему	программа	170
почему	система	170
проверим	как	170
проверить	код	170
программа	предлагает	170
сделаем	так	170
система	выбирает	170
улучшим	интерфейс	170
хранится	база	170
что	будет	170
это	значит	170
это	сработает	170
браузере	и	155
будет	предлагать	155
в	браузере	155
в	любом	155
в	почте	155
в	текущем	155
вертикальный	ползунок	155
во	время	155
время	набора	155
выбранный	вариант	155
выпадающий	список	155
данные	должны	155
дизайн	должен	155
должен	выглядеть	155
должен	дополняться	155
должен	учитываться	155
должна	запоминать	155
должна	появляться	155
должна	сохраняться	155
должна	учиться	155
должно	дополняться	155
должно	запускаться	155
должны	появляться	155
должны	предлагаться	155
должны	сохраняться	155
должны	учитывать	155
должны	храниться	155
и	заметках	155
и	чате	155
интерфейс	должен	155
к	интернету	155
контекст	должен	155
локальная	модель	155
любом	приложении	155
может	выбрать	155
может	дополнить	155
может	предложить	155
нажатия	пробела	155
настройки	должны	155
основе	текста	155
паузы	программа	155
персональная	база	155
после	паузы	155
почте	и	155
результат	должен	155
рядом	с	155
с	кареткой	155
текущем	поле	155
только	на	155
учетом	падежа	155
учетом	рода	155
учетом	числа	155
будем	делать	150
будете	делать	150
будешь	делать	150
будут	делать	150
вижу	что	150
вы	думаете	150
вы	знаете	150
вы	понимаете	150
думаем	что	150
думаете	что	150
думаешь	что	150
думают	что	150
знаем	что	150
знаете	что	150
знаешь	что	150
знаю	что	150
знают	что	150
могут	помочь	150
могут	сделать	150
можем	добавить	150
можем	проверить	150
можем	сделать	150
можете	посмотреть	150
можете	проверить	150
можете	сделать	150
можешь	посмотреть	150
мы	думаем	150
мы	знаем	150
мы	понимаем	150
мы	считаем	150
написала	сообщение	150
